repo_name,problems_total,critical_issues,high_issues,moderate_issues,low_issues,problems
Homebrew_brew,0,0,0,0,0,[]
NSFI_ppfish-components,5,697,283,234,0,"[('ESLint', 697), ('Deprecated symbol used', 172), ('Unused local symbol', 67), ('Unused import', 50), (""Potentially invalid reference to 'this' from closu"", 45), ('Mismatched JSDoc and function signature', 32), ('Redundant type arguments', 28), ('Unused assignment', 27), ('Result of method call returning a promise is ignor', 19), ('Equality operator may cause type coercion', 16), ('JQuery selector can be optimized', 10), ('Unresolved JSX component', 6), ('Duplicate character in character class', 5), ('Duplicate union or intersection type component', 4), ('Import can be shortened', 4), ('Syntax errors and unresolved references in JSDoc', 4), ('Void function return value used', 4), ('Webpack config compliance with JSON Schema', 4), (""Object is 'null' or 'undefined'"", 3), ('Field can be readonly', 3), ('Redundant local variable', 3), ('Pointless statement or boolean expression', 2), ('Variable is assigned to itself', 2), ('Missing await for an async function call', 2), ('Redundant nesting in template literal', 2), ('Mismatched query and update of collection', 1), ('Single character alternation', 1), (""Unnecessary 'return' statement"", 1), ('Unnecessary label', 1), ('Expression statement which is not assignment or ca', 1), (""Redundant 'await' expression"", 1), ('Redundant character escape', 1), ('Duplicated code fragment', 1)]"
OpenMathLib_OpenBLAS,0,0,0,0,0,[]
ReFirmLabs_binwalk,0,0,0,0,0,[]
RoaringBitmap_RoaringBitmap,232,0,159,8,0,"[('Nullability and data flow problems', 30), (""'protected' member in 'final' class"", 29), ('Unused assignment', 20), ('Class is exposed outside of its visibility scope', 15), ('Duplicated code fragment', 15), ('Unstable API Usage', 14), ('Method does not call super method', 13), ('Redundant local variable', 11), ('Optional.get() is called without isPresent() check', 10), ('Possibly lossy implicit cast in compound assignmen', 9), ('Negative int hexadecimal constant in long context', 8), (""'if' statement with identical branches or common p"", 8), (""'long' literal ending with 'l' instead of 'L'"", 6), (""'equals()' between objects of inconvertible types"", 5), ('Pointless bitwise expression', 3), (""Redundant call to 'String.format()'"", 3), (""'Externalizable' class without 'public' no-arg con"", 2), (""AutoCloseable used without 'try'-with-resources"", 2), ('Constant values', 2), (""Inner class may be 'static'"", 2), ('Integer multiplication or shift implicitly cast to', 2), ('Loop executes zero or billions of times', 2), ('Numeric overflow', 2), ('Pointless boolean expression', 2), ('Result of method call ignored', 2), ('Suspicious variable/parameter name combination', 2), ('Javadoc declaration problems', 2), ('Manual array copy', 1), ('Statement with empty body', 1), (""Suspicious 'System.arraycopy()' call"", 1), (""'InputStream' and 'OutputStream' can be constructe"", 1), (""Call to 'printStackTrace()'"", 1), ('Copy of existing static method body', 1), ('Field can be local', 1), (""Field may be 'final'"", 1), ('Link specified as plain text', 1), (""Redundant 'if' statement"", 1), ('Commented out code', 1)]"
StanzaOrg_lbstanza,0,0,0,0,0,[]
WebAssembly_binaryen,0,0,0,0,0,[]
WorldBrain_Memex,12,2045,1418,514,0,"[('ESLint', 1101), ('TSLint', 944), ('Unused local symbol', 890), ('Unused import', 312), ('Deprecated symbol used', 195), ('Missing await for an async function call', 140), ('Result of method call returning a promise is ignor', 96), ('Import can be shortened', 44), ('Field can be readonly', 38), ('Unused assignment', 37), ('Mismatched JSDoc and function signature', 32), ('Syntax errors and unresolved references in JSDoc', 24), ('Redundant type arguments', 20), ('Duplicate character in character class', 13), ('Unreachable code', 12), (""Redundant 'await' expression"", 9), ('Exception used for local control-flow', 8), ('Pointless statement or boolean expression', 8), ('Redundant character escape', 8), ('Redundant nesting in template literal', 6), (""Object is 'null' or 'undefined'"", 5), ('Unnecessary non-capturing group', 5), ('Duplicate union or intersection type component', 4), ('Equality operator may cause type coercion', 4), (""Unnecessary 'continue' statement"", 4), ('Abstract class constructor can be made protected', 4), ('Comma expression', 3), ('Consecutive spaces', 3), ('Mismatched query and update of collection', 3), ('Void function return value used', 3), ('Comparison of expressions having incompatible type', 3), ('Variable is assigned to itself', 2), ('Expression statement which is not assignment or ca', 2), ('Redundant local variable', 2), ('Duplicated code fragment', 2), (""'return' inside 'finally' block"", 1), ('Single character alternation', 1), ('Unresolved JSX component', 1)]"
astaxie_build-web-application-with-golang,1183,0,409,774,0,"[('Usage of Snake_Case', 321), ('Unhandled error', 203), ('Error string should not be capitalized or end with', 185), ('Comment of exported element starts with the incorr', 127), ('Unused constant', 75), ('Type can be omitted', 64), ('Unused exported function', 25), ('Redundant parentheses', 24), ('Bool condition', 20), ('Unused global variable', 20), ('Unused parameter', 20), ('Unsorted imports', 16), ('Deprecated element', 14), ('Redundant types in composite literals', 10), (""Incorrect usage of 'fmt.Printf' and 'fmt.Println'"", 10), ('Mixed value and pointer receivers', 10), ('Receiver has a generic name', 7), ('Redundant blank argument in range', 5), ('Reserved word used as name', 5), ('Unexported return type of the exported function', 5), ('Unused function', 5), (""'defer' in the loop"", 5), ('Redundant semicolon', 5), ('Constant condition', 2)]"
async-labs_builderbook,604,533,48,20,0,"[('ESLint', 533), ('Exception used for local control-flow', 30), ('Unused assignment', 17), ('Result of method call returning a promise is ignor', 12), ('Comparison of expressions having incompatible type', 8), ('Regular expression can be simplified', 3), ('Unused local symbol', 1)]"
aws_s2n-tls,0,0,0,0,0,[]
axiomatic-systems_Bento4,0,0,0,0,0,[]
baconjs_bacon.js,138,0,131,7,0,"[('Unused local symbol', 50), ('Syntax errors and unresolved references in JSDoc', 30), ('Unnecessary semicolon', 23), ('Mismatched JSDoc and function signature', 8), ('Duplicate declaration', 4), ('JQuery selector can be optimized', 4), ('Abstract class constructor can be made protected', 4), ('Deprecated symbol used', 3), ('Comma expression', 2), ('Pointless statement or boolean expression', 2), ('Reserved word used as name', 2), ('Unused assignment', 2), ('Equality operator may cause type coercion', 1), ('Mismatched query and update of collection', 1), ('Unsound type guard check', 1), ('Void function return value used', 1)]"
bazelbuild_bazel,0,0,0,0,0,[]
bioconda_bioconda-recipes,288,0,24,242,0,"[('Redundant parentheses', 139), ('PEP 8 naming convention violation', 46), ('Using equality operators to compare with None', 22), ('Shadowing names from outer scopes', 19), ('rootNodes.py                                         Unresolved references', 8), ('Incorrect type', 8), ('The default argument is mutable', 7), ('Unused local symbols', 7), ('run_test.py                                          Unresolved references', 4), ('show_diff.py                                         Unresolved references', 4), ('Accessing a protected member of a class or a modul', 4), ('setup.py                                             Unresolved references', 3), ('Unbound local variables', 3), ('Deprecated function, class, or module', 2), ('Redundant boolean variable check', 2), ('Shadowing built-in names', 2), ('phylip.py                                            Unresolved references', 1), ('missingCranPackages.py                               Unresolved references', 1), ('GeMoMa.py                                            Unresolved references', 1), ('Attempt to call a non-callable object', 1), ('Prohibited trailing semicolon in a statement', 1), ('Statement has no effect', 1), ('Unnecessary backslash', 1), ('Unclear exception clauses', 1)]"
bitcoinbook_bitcoinbook,6,0,0,0,0,"[('rpc_block.py                                     Unresolved references', 2), ('rpc_example.py                                   Unresolved references', 2), ('rpc_transaction.py                               Unresolved references', 2)]"
bkaradzic_bgfx,0,0,0,0,0,[]
blynkkk_blynk-library,0,0,0,0,0,[]
bokeh_bokeh,951,19,611,307,0,"[('Import can be shortened', 402), ('Abstract class constructor can be made protected', 110), ('Redundant type arguments', 81), ('Expression statement which is not assignment or ca', 79), ('Unnecessary label', 45), ('Unsound type guard check', 26), ('Unused local symbol', 23), ('Suspicious variable/parameter name combination', 21), ('Deprecated symbol used', 20), ('ESLint', 19), ('Unnecessary semicolon', 16), ('Comma expression', 9), ('Field can be readonly', 8), (""Fallthrough in 'switch' statement"", 7), ('Infinite loop statement', 7), ('Primitive type object wrapper used', 7), ('Equality operator may cause type coercion', 6), (""Unnecessary 'continue' statement"", 6), ('Redundant local variable', 5), ('Duplicated code fragment', 5), ('Unnecessary non-capturing group', 4), ('Unreachable code', 4), ('Unused import', 4), ('Void function return value used', 4), ('Implicitly declared global JavaScript variable', 4), ('Redundant nesting in template literal', 4), ('Duplicate declaration', 3), (""Loop statement that doesn't loop"", 3), ('Mismatched query and update of collection', 3), ('Pointless statement or boolean expression', 3), ('Reserved word used as name', 3), ('Suspicious back reference', 3), ('Pointless arithmetic expression', 3), ('Identifiers with non-ASCII symbols', 1), ('Variable is assigned to itself', 1), ('Missing await for an async function call', 1), (""Redundant 'if' statement"", 1)]"
boostorg_boost,55,0,23,29,0,"[('Incorrect type', 18), ('An instance attribute is defined outside `__init__', 9), ('Redundant parentheses', 7), ('Shadowing built-in names', 6), ('Single quoted docstring', 4), ('boost_check_library.py                               Unresolved references', 3), ('The default argument is mutable', 3), ('Prohibited trailing semicolon in a statement', 2), ('Method is not declared static', 2), ('PEP 8 naming convention violation', 1)]"
bootstrap-vue_bootstrap-vue,177,2,142,25,0,"[('Unused import', 61), ('Mismatched JSDoc and function signature', 40), ('Import can be shortened', 14), ('Deprecated symbol used', 10), ('Unused assignment', 9), ('Duplicated code fragment', 8), ('Expression statement which is not assignment or ca', 7), ('Comparison of expressions having incompatible type', 6), ('Duplicate character in character class', 5), ('Unnecessary semicolon', 3), ('Duplicate declaration', 2), ('Single character alternation', 2), ('Suspicious variable/parameter name combination', 2), ('Result of method call returning a promise is ignor', 2), ('Attempt to assign to const or readonly variable', 1), ('Hardcoded passwords', 1), (""'this' expression which references the global obje"", 1), ('Possibly incorrect target of indexed property acce', 1), ('Syntax errors and unresolved references in JSDoc', 1), ('Unused local symbol', 1)]"
boto_boto,26,1,1077,2702,0,"[('Unused local symbols', 836), ('PEP 8 naming convention violation', 546), ('Unsatisfied package requirements', 410), ('Incorrect docstring', 370), ('Statement has no effect', 297), ('Method is not declared static', 219), ('Shadowing built-in names', 170), ('Incorrect type', 154), ('Shadowing names from outer scopes', 154), ('An instance attribute is defined outside `__init__', 151), ('Redundant parentheses', 69), ('Accessing a protected member of a class or a modul', 58), ('Unclear exception clauses', 54), ('Method signature does not match signature of overr', 47), ('Unbound local variables', 43), (""Missed call to '__init__' of the super class"", 36), ('Function call can be replaced with set literal', 28), ('Dictionary creation can be rewritten by dictionary', 21), ('Single quoted docstring', 18), ('Deprecated function, class, or module', 16), ('Incorrect call arguments', 14), ('Prohibited trailing semicolon in a statement', 14), ('The default argument is mutable', 11), ('Non-optimal list declaration', 7), ('Redundant boolean variable check', 6), ('First argument of the method is reassigned', 5), ('sdbadmin                                      Unresolved references', 4), ('s3put                                         Unresolved references', 4), ('Too complex chained comparisons', 4), ('Using equality operators to compare with None', 4), ('Duplicated code fragment', 4), ('taskadmin                                     Unresolved references', 3), ('__init__.py                                   Unresolved references', 3), ('Improper first parameter', 3), ('cwutil                                        Unresolved references', 2), ('Vulnerable declared dependency', 2), ('Errors in string formatting operations', 2), ('Redeclared names without usages', 2), ('Unnecessary backslash', 2), (""Assigning function calls that don't return anythin"", 2), ('instance_events                               Unresolved references', 1), ('launch_instance                               Unresolved references', 1), ('setup.py                                      Unresolved references', 1), ('asadmin                                       Unresolved references', 1), ('cfadmin                                       Unresolved references', 1), ('elbadmin                                      Unresolved references', 1), ('Inappropriate access to properties', 1), ('Incorrect property definition', 1), ('Unreachable code', 1), (""Assignments to 'for' loop or 'with' statement para"", 1), ('Global variable is not defined at the module level', 1)]"
boto_boto3,254,0,50,183,0,"[('PEP 8 naming convention violation', 80), ('Unsatisfied package requirements', 48), ('Method is not declared static', 35), ('Unused local symbols', 28), ('Incorrect docstring', 17), ('Improper first parameter', 10), ('Shadowing names from outer scopes', 5), ('crt.py                                      Unresolved references', 4), ('session.py                                  Unresolved references', 4), ('utils.py                                    Unresolved references', 4), ('Incorrect type', 3), ('Accessing a protected member of a class or a modul', 3), ('Shadowing built-in names', 3), ('inject.py                                   Unresolved references', 2), ('transfer.py                                 Unresolved references', 2), ('compat.py                                   Unresolved references', 2), ('conf.py                                     Unresolved references', 2), ('exceptions.py                               Unresolved references', 1), (""Assignments to 'for' loop or 'with' statement para"", 1)]"
bqplot_bqplot,277,88,159,26,0,"[('Unused local symbol', 127), ('ESLint', 88), ('Deprecated symbol used', 21), ('Unused assignment', 11), ('Comma expression', 5), ('Suspicious variable/parameter name combination', 4), ('Duplicated code fragment', 4), ('Webpack config compliance with JSON Schema', 3), ('Result of method call returning a promise is ignor', 3), ('Equality operator may cause type coercion', 2), ('Mismatched JSDoc and function signature', 2), ('Pointless statement or boolean expression', 2), ('Missing await for an async function call', 2), (""Object is 'null' or 'undefined'"", 1), ('Single character alternation', 1), ('Unused import', 1)]"
buefy_buefy,2,568,2043,5,0,"[('Missing component import', 1979), ('ESLint', 568), ('Unused local symbol', 36), ('Void function return value used', 8), ('Unused import', 5), ('Equality operator may cause type coercion', 4), ('Mismatched JSDoc and function signature', 4), ('Suspicious variable/parameter name combination', 3), ('Deprecated symbol used', 3), ('Import can be shortened', 2), ('Unused assignment', 2), ('Expression statement which is not assignment or ca', 1), ('Implicitly declared global JavaScript variable', 1), ('Redundant local variable', 1), ('Duplicated code fragment', 1)]"
buildroot_buildroot,300,0,28,245,0,"[('An instance attribute is defined outside `__init__', 72), ('PEP 8 naming convention violation', 55), ('Shadowing names from outer scopes', 30), ('Accessing a protected member of a class or a modul', 15), ('Redundant parentheses', 15), ('Incorrect type', 13), ('Method is not declared static', 13), ('Non-optimal list declaration', 13), ('Unused local symbols', 13), ('Unbound local variables', 7), ('Shadowing built-in names', 6), ('Single quoted docstring', 6), ('basetest.py                                      Unresolved references', 4), ('graph-build-time                                 Unresolved references', 4), ('graphics_base.py                                 Unresolved references', 4), ('Consecutive spaces', 4), ('The default argument is mutable', 4), ('size-stats                                       Unresolved references', 3), ('Global variable is not defined at the module level', 3), ('Duplicated code fragment', 3), ('builder.py                                       Unresolved references', 1), ('emulator.py                                      Unresolved references', 1), ('run-tests                                        Unresolved references', 1), ('test_btrfs.py                                    Unresolved references', 1), ('test_erofs.py                                    Unresolved references', 1), ('test_jffs2.py                                    Unresolved references', 1), ('test_ubi.py                                      Unresolved references', 1), ('test_yaffs2.py                                   Unresolved references', 1), ('boot-qemu-image.py                               Unresolved references', 1), (""Assignments to 'for' loop or 'with' statement para"", 1), ('Dictionary creation can be rewritten by dictionary', 1), ('Too complex chained comparisons', 1), ('Unclear exception clauses', 1)]"
confluentinc_confluent-kafka-python,550,1,9,520,0,"[('Unsatisfied package requirements', 267), ('Shadowing names from outer scopes', 73), ('Incorrect docstring', 46), ('Method is not declared static', 33), ('Accessing a protected member of a class or a modul', 31), ('Unused local symbols', 31), ('Redundant parentheses', 14), ('Too complex chained comparisons', 9), ('Shadowing built-in names', 7), ('Incorrect type', 6), ('asyncio_example.py                                          Unresolved references', 4), ('avro_producer.py                                            Unresolved references', 4), ('oauth_oidc_ccloud_producer.py                               Unresolved references', 4), ('gcp_client.py                                               Unresolved references', 4), ('gcp_driver.py                                               Unresolved references', 4), ('PEP 8 naming convention violation', 4), ('The default argument is mutable', 3), ('Redundant boolean variable check', 3), ('Unclear exception clauses', 2), ('Hardcoded passwords', 1)]"
coolsnowwolf_lede,0,0,0,0,0,[]
