repo_name,problems_total,critical_issues,high_issues,moderate_issues,low_issues,problems
BLCM_BLCMods,323,0,70,227,0,"[('Shadowing names from outer scopes', 190), ('Unbound local variables', 39), ('generate-mod.py                              An invalid interpreter', 22), ('Errors in string formatting operations', 21), ('Non-optimal list declaration', 16), ('Method is not declared static', 8), ('Redeclared names without usages', 7), (""Assignments to 'for' loop or 'with' statement para"", 6), ('Redundant parentheses', 4), ('Unused local symbols', 3), ('Dictionary contains duplicate keys', 2), ('Duplicated code fragment', 2), ('part_unlock.py                               An invalid interpreter', 1), ('generate.py                                  An invalid interpreter', 1), ('Unreachable code', 1)]"
Baekalfen_PyBoy,24,0,1425,1389,0,"[('Statement has no effect', 1359), ('PEP 8 naming convention violation', 1134), ('Accessing a protected member of a class or a modul', 93), ('Redundant parentheses', 54), ('Unused local symbols', 40), ('Incorrect type', 38), ('Shadowing names from outer scopes', 28), ('Unbound local variables', 22), ('An instance attribute is defined outside `__init__', 21), ('Method is not declared static', 9), ('Incorrect docstring', 3), ('Non-optimal list declaration', 3), ('__init__.py                                                An invalid interpreter', 2), ('Incorrect call arguments', 2), (""Missed call to '__init__' of the super class"", 2), ('Single quoted docstring', 2), ('makefont.py                                                An invalid interpreter', 1), ('memory_scanner.pxd                                         An invalid interpreter', 1), ('screen.py                                                  An invalid interpreter', 1), ('base_mbc.pxd                                               An invalid interpreter', 1), ('base_mbc.py                                                An invalid interpreter', 1), ('cartridge.pxd                                              An invalid interpreter', 1), ('cartridge.py                                               An invalid interpreter', 1), ('mbc1.pxd                                                   An invalid interpreter', 1), ('mbc1.py                                                    An invalid interpreter', 1), ('mbc3.pxd                                                   An invalid interpreter', 1), ('rtc.pxd                                                    An invalid interpreter', 1), ('base_plugin.pxd                                            An invalid interpreter', 1), ('debug_prompt.pxd                                           An invalid interpreter', 1), ('disable_input.pxd                                          An invalid interpreter', 1), ('game_wrapper_pokemon_gen1.pxd                              An invalid interpreter', 1), ('record_replay.pxd                                          An invalid interpreter', 1), ('record_replay.py                                           An invalid interpreter', 1), ('rewind.pxd                                                 An invalid interpreter', 1), ('screen_recorder.pxd                                        An invalid interpreter', 1), ('screen_recorder.py                                         An invalid interpreter', 1), ('screenshot_recorder.py                                     An invalid interpreter', 1), ('window_null.py                                             An invalid interpreter', 1), ('Tuple assignment balance is incorrect', 1), ('Vulnerable declared dependency', 1), ('Global variable is not defined at the module level', 1), ('Using equality operators to compare with None', 1)]"
BehaviorTree_BehaviorTree.CPP,0,0,0,0,0,[]
BlackArch_blackarch,205,0,117,78,0,"[('Statement has no effect', 79), ('Unused local symbols', 23), ('Unbound local variables', 21), ('PEP 8 naming convention violation', 13), ('Shadowing names from outer scopes', 11), ('Unnecessary backslash', 10), ('Method is not declared static', 10), ('Unclear exception clauses', 9), ('Redundant parentheses', 8), ('Prohibited trailing semicolon in a statement', 4), ('An instance attribute is defined outside `__init__', 4), (""Missed call to '__init__' of the super class"", 2), ('filterbuster.py                               An invalid interpreter', 1), ('ilty                                          An invalid interpreter', 1), ('pykismetearth.py                              An invalid interpreter', 1), ('list-urls.py                                  An invalid interpreter', 1), ('modscan                                       An invalid interpreter', 1), ('MultiInjector.py                              An invalid interpreter', 1), ('nbnspoof                                      An invalid interpreter', 1), ('netcmd                                        An invalid interpreter', 1), ('check-mirror                                  An invalid interpreter', 1), ('up-libraries                                  An invalid interpreter', 1), ('Inconsistent indentation', 1)]"
BlueWallet_BlueWallet,0,0,0,0,0,[]
Bukkit_Bukkit,413,0,193,4,0,"[('Unnecessary modifier', 147), ('Static initializer references subclass', 47), ('Deprecated API usage', 35), ('Catch block may ignore exception', 30), ('Constant values', 23), ('Unused assignment', 17), (""'default' not last case in 'switch'"", 11), ('Result of method call ignored', 8), ('Synchronization on a non-final field', 7), (""'Collection.toArray()' call style"", 5), (""'size() == 0' can be replaced with 'isEmpty()'"", 5), ('Deprecated member is still used', 5), ('Javadoc declaration problems', 5), ('Bulk operation can be used instead of iteration', 4), ('Integer division in floating-point context', 4), ('Nullability and data flow problems', 4), ('Pointless bitwise expression', 4), ('Suspicious variable/parameter name combination', 4), ('Unstable API Usage', 4), (""Field may be 'final'"", 4), ('Redundant local variable', 4), ('Manual array to collection copy', 3), ('Simplifiable conditional expression', 3), ('Unnecessary semicolon', 3), ('Method does not call super method', 2), ('Statement with empty body', 2), ('Synchronization on local variable or method parame', 2), (""'if' statement with identical branches or common p"", 2), (""Non-final field in 'enum'"", 2), (""Duplicate branches in 'switch'"", 2), (""'return' inside 'finally' block"", 1), (""Inner class may be 'static'"", 1), ('Integer multiplication or shift implicitly cast to', 1), ('Malformed format string', 1), ('Manual array copy', 1), ('Mismatched query and update of collection', 1), (""Non-serializable class with 'serialVersionUID'"", 1), (""Redundant 'Collection.addAll()' call"", 1), (""String concatenation as argument to 'StringBuilder"", 1), ('String concatenation in loop', 1), (""Unnecessary call to 'Throwable.initCause()'"", 1), ('Dangling Javadoc comment', 1), ('Redundant type cast', 1), (""Unnecessary conversion to 'String'"", 1), ('Unused import', 1)]"
BytomDAO_bytom,6065,16,3696,2353,0,"[('Unhandled error', 1429), ('Usage of Snake_Case', 884), ('Unused constant', 742), ('Redundant types in composite literals', 335), ('Unused parameter', 311), ('Receiver has a generic name', 234), ('Deprecated element', 226), ('Direct comparison of errors', 221), ('Mixed value and pointer receivers', 217), ('Comment of exported element starts with the incorr', 163), ('Redundant type conversion', 135), ('Unreachable code', 129), ('Empty slice declared using a literal', 117), ('Error string should not be capitalized or end with', 108), ('Imported package name as a name identifier', 96), ('Unused exported function', 92), ('Type assertion on errors fails on wrapped errors', 82), ('Unused global variable', 65), (""'defer' in the loop"", 58), (""Missing 'case' statements for 'iota' consts in 'sw"", 56), ('Redundant parentheses', 40), ('Reserved word used as name', 33), ('Unused function', 32), ('Locks mistakenly passed by value', 27), (""'FailNow' in a non-test goroutine"", 26), ('Struct initialization without field names', 26), ('Constant condition', 18), ('Unsorted imports', 18), ('Unused type', 17), ('Potential nil dereference', 17), ('Hardcoded passwords', 15), ('Error may be not nil', 15), ('Bool condition', 14), ('Redundant import alias', 13), (""Incorrect usage of 'fmt.Printf' and 'fmt.Println'"", 12), ('Non-standard signature for well-known function nam', 8), ('Type can be omitted', 8), ('Name starts with a package name', 7), ('Redundant blank argument in range', 6), ('Malformed test function name', 5), ('Integer to string type conversion', 3), ('Assignment to a receiver', 3), ('Vulnerable declared dependency', 2)]"
EbookFoundation_free-programming-books,0,0,0,0,0,[]
GeekyAnts_NativeBase,0,0,0,0,0,[]
HandBrake_HandBrake,21,22637,1388,0,0,"[('XAML Errors', 22555), ('Resource is overridden with identical value', 2203), ('Unresolved binding path when DataContext is unknow', 907), ('Type member is never used (non-private accessibili', 749), ('Member can be made private (non-private accessibil', 634), ('Use preferred namespace body style', 491), ('Unused parameter (non-private accessibility)', 316), ('Static resource not resolved', 279), ('Method return value is never used (non-private acc', 262), ('Auto-property accessor is never used (non-private', 231), ('Unused parameter (private accessibility)', 160), (""Use preferred style of 'new' expression when creat"", 155), (""Invert 'if' statement to reduce nesting"", 140), ('Method return value is never used (private accessi', 133), ('RoslynAnalyzers Mark members as static', 124), (""ad of 'DllImportAttribute' to generate P/Invoke ma"", 109), (""only be used in code within a '#nullable' annotat"", 97), ('Unresolved binding path when DataContext is known', 96), ('Type member is never used (private accessibility)', 95), ('Class is never instantiated (non-private accessibi', 84), ('Unexpected text token error', 82), ('Property can be made init-only (non-private access', 71), (""Possible 'System.NullReferenceException'"", 63), (""Convert 'as' expression type check and the followi"", 48), ('Convert constructor into primary constructor', 46), ('Type is never used (non-private accessibility)', 44), ('Redundant using directive', 40), ('Use preferred style for trailing comma before new', 38), ('RoslynAnalyzers Non-constant fields should not be', 29), ('Use compound assignment', 28), ('Field can be made readonly (non-private accessibil', 27), (""'if-return' statement can be rewritten as 'return'"", 27), ('Use collection expression syntax', 23), ('Field can be made readonly (private accessibility)', 22), ('Invalid XML documentation comment', 21), ('Event is never subscribed to (non-private accessib', 20), (""Redundant 'else' keyword"", 19), ('Collection is never updated (non-private accessibi', 18), ('Replace if statement with null-propagating code', 18), (""Some values of the enum are not processed inside '"", 18), ('Redundant type declaration body', 17), ('Redundant empty argument list on object creation e', 17), ('Auto-property can be made get-only (non-private ac', 16), ('Assignment is not used', 14), ('Inconsistent synchronization on field', 14), ('XML highlighting', 14), ('Auto-property can be made get-only (private access', 13), ('Member can be made protected (non-private accessib', 13), ('Use object or collection initializer when possible', 13), (""'value' parameter is not used"", 12), (""Possible 'null' assignment to non-nullable entity"", 12), ('Type member is never accessed via base type (non-p', 12), (""Replace 'switch' statement with 'switch' expressio"", 12), ('Parameter hides member', 11), (""'if' statement can be rewritten as '??=' assignmen"", 11), ('RoslynAnalyzers Specify marshaling for P/Invoke st', 11), ('Merge null/pattern checks into complex pattern', 10), ('Event never invoked', 9), ('Redundant namespace alias', 9), ('Resource is not overridden in specific culture', 9), ('Merge conditional ?: expression into conditional a', 9), ('Member can be made static (shared) (private access', 9), ('RoslynAnalyzers Use concrete types when possible f', 9), ('Conditional access qualifier expression is known t', 8), (""'if' statement can be rewritten as '??' expression"", 7), ('Member can be made static (shared) (non-private ac', 7), ('Redundant member initializer', 6), (""'??' condition is known to be null or not null"", 5), ('Cannot resolve symbol in text argument', 5), ('Unused local variable', 5), ('Class with virtual (overridable) members never inh', 5), (""Dictionary lookup can be simplified with 'TryGetVa"", 5), ('Type check and casts can be merged', 5), ('Unassigned field (non-private accessibility)', 5), ('Convert property into auto-property (when possible', 5), ('Convert property into auto-property with private s', 5), ('RoslynAnalyzers Instantiate argument exceptions co', 5), (""RoslynAnalyzers Prefer the 'IDictionary.TryGetValu"", 5), ('MenuItemExtensions.cs                                          C# Compiler Errors', 4), ('SubtitleBehaviourConverter.cs                                  C# Compiler Errors', 4), ('SubtitleBehaviours.cs                                          C# Compiler Errors', 4), ('VideoTune.cs                                                   C# Compiler Errors', 4), ('CountdownAlertView.xaml.cs                                     C# Compiler Errors', 4), ('Async method invocation without await expression', 4), (""Non-readonly type member referenced in 'GetHashCod"", 4), (""Convert into 'using' declaration"", 4), (""Inline 'out' variable declaration"", 4), ('Redundant verbatim prefix', 4), ('Loop can be converted into LINQ-expression', 4), ('RoslynAnalyzers Do not ignore method results', 4), ('RoslynAnalyzers Use char overload', 4), ('Use preferred style of default value expression wh', 4), (""Do not use object initializer for 'using' variable"", 3), (""Redundant 'case' label"", 3), ('Convert constructor into member initializers', 3), ('Convert property into auto-property', 3), ('Redundant verbatim string prefix', 3), ('Add/remove qualifier for static members', 3), ('Equality comparison of floating point numbers', 3), ('Inline temporary variable', 3), ('Literal length can be reduced by using verbatim st', 3), ('Redundant semicolon after type or namespace declar', 3), ('RoslynAnalyzers Use ArgumentNullException throw he', 3), ('overloads to perform case-insensitive string compa', 3), ('Specify string comparison explicitly', 3), ('Tail recursive call can be replaced with loop', 3), ('Collection content is never queried (non-private a', 2), ('Empty constructor', 2), ('Format string placeholders mismatch', 2), ('Local variable hides member', 2), ('Redundant cast', 2), ('Unused nullable directive', 2), (""'if' statement can be rewritten as '?:' expression"", 2), ('Introduce optional parameters (non-private accessi', 2), ('Move variable declaration inside loop condition', 2), (""Convert 'if' statement into 'switch'"", 2), ('Duplicated switch section bodies', 2), ('Merge sequential checks into single conditional ac', 2), ('RoslynAnalyzers Mark attributes with AttributeUsag', 2), (""switch' statement and are handled via default sect"", 2), ('Use alias', 2), ('HandBrakeWPF.csproj                          Rider toolset and environment errors', 1), ('Async function without await expression', 1), ('Auto-property accessor is never used (private acce', 1), ('Bitwise operation on enum that is not marked by th', 1), ('Code is unreachable', 1), ('Explicit delegate creation expression is redundant', 1), (""Expression is always 'null'"", 1), ('Namespace does not correspond to file location', 1), ('Non-accessed field (private accessibility)', 1), ('Private field can be converted into local variable', 1), ('Virtual member call in constructor', 1), ('Convert static method invocation into extension me', 1), (""Dictionary lookup can be simplified with 'GetValue"", 1), (""Dictionary lookup can be simplified with 'TryAdd'"", 1), ('Incorrect indent (around statement braces)', 1), ('Local variable has too wide declaration scope', 1), ('Non-accessed field (non-private accessibility)', 1), ('Parameter is only used for precondition check (non', 1), (""Use 'nameof' expression to reference name"", 1), ('Virtual (overridable) member is never overridden (', 1), ('Convert local variable or field into constant (pri', 1), ('Extract common code', 1), (""Merge null/pattern/value checks into 'or'/'and' pa"", 1), (""Replace 'Substring' with range indexer"", 1), ('RoslynAnalyzers Avoid constant arrays as arguments', 1), ('RoslynAnalyzers P/Invokes should not be visible', 1), (""RoslynAnalyzers Prefer the 'IDictionary.TryAdd(TKe"", 1), ('RoslynAnalyzers Use nameof to express symbol names', 1), (""switch' expression and are handled via exception i"", 1), ('Use preferred style for trailing comma when the la', 1), ('Use raw string', 1)]"
